ruta_relativa,nombre,extension,tipo,corpus_inferido,tamano_bytes,tamano_humano,modificado,sha256,hash_omitido
.gitattributes,.gitattributes,,otro,sin_clasificar,139,139 B,2026-03-27T22:43:12,32644e28d862812a6893309f43bbaf4f5eacde8a509081f60463c09de9c74c75,False
.gitignore,.gitignore,,otro,sin_clasificar,1702,1.7 KB,2026-04-05T17:32:30,0419111b872f76ccf7233670929716744be5813c87d8bf576170edfb7b6b9dd1,False
78%),78%),,otro,sin_clasificar,0,0 B,2026-04-02T20:28:43,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False
analisis_comparativo.py,analisis_comparativo.py,.py,codigo,sin_clasificar,4754,4.6 KB,2026-04-04T07:36:11,0949247c9ba57c99ab7aa3d87f9bceef01072e1462b18d15839359f371beda45,False
analisis_corpus_b.py,analisis_corpus_b.py,.py,codigo,sin_clasificar,1667,1.6 KB,2026-04-04T07:30:01,4492b97cbb5a61401f37236cf53e3a62e0d8e45d8b45a0ad4db6d33713dce314,False
analisis_rep_puro_a.py,analisis_rep_puro_a.py,.py,codigo,sin_clasificar,2666,2.6 KB,2026-04-04T08:57:40,3e4ffc4c0506375da75d410d1846419c792eb38a49bd9d4bef3eccf81ed35318,False
annotations_mireya_v1.json.json,annotations_mireya_v1.json.json,.json,datos_json,sin_clasificar,182342,178.1 KB,2026-04-05T09:02:13,a55f64c2f2dc55b06996ba8bc9b06b3b8b00f273c797e1b2c42f0833a439e98d,False
aus_casanare_torres (1).csv,aus_casanare_torres (1).csv,.csv,datos_tabular,C-JEP-oral,129012,126.0 KB,2026-04-14T18:46:16,1414fcd0b76a3d0867c299a439259b078360078c259f819d417f3eafd3c96b48,False
aus_casanare_torres.csv,aus_casanare_torres.csv,.csv,datos_tabular,C-JEP-oral,129012,126.0 KB,2026-04-14T15:51:00,1414fcd0b76a3d0867c299a439259b078360078c259f819d417f3eafd3c96b48,False
aus_catatumbo_SPEAKER_01.csv,aus_catatumbo_SPEAKER_01.csv,.csv,datos_tabular,C-JEP-oral,125173,122.2 KB,2026-04-14T16:54:37,5f1f9a58fee41d404268615419714c1944d7ba1b9d4f9a00dbc1d597b6ff8803,False
aus_catatumbo_SPEAKER_03.csv,aus_catatumbo_SPEAKER_03.csv,.csv,datos_tabular,C-JEP-oral,132838,129.7 KB,2026-04-14T18:01:19,5a34e333d1e207f28799ce4f1bedb775f82c5219ad3ceb4d934678fee26f69b1,False
aus_dabeiba_SPEAKER_01.csv,aus_dabeiba_SPEAKER_01.csv,.csv,datos_tabular,C-JEP-oral,31426,30.7 KB,2026-04-14T18:01:19,57c78db798b1f322f54e534486143aa3ded33efa82c322b3c6f8b96acd542e17,False
aus_dabeiba_SPEAKER_03.csv,aus_dabeiba_SPEAKER_03.csv,.csv,datos_tabular,C-JEP-oral,41804,40.8 KB,2026-04-14T18:01:19,70b1bc9199e291efebd0409f27d929fbc9655e706d99de383c1a0402808c25ae,False
aus_huila_SPEAKER_01.csv,aus_huila_SPEAKER_01.csv,.csv,datos_tabular,C-JEP-oral,133583,130.5 KB,2026-04-14T18:46:16,df03c41bd872f94fe13d71697c5ab1de819f0a6167af21a243abe6ca324858cd,False
aus_huila_SPEAKER_02.csv,aus_huila_SPEAKER_02.csv,.csv,datos_tabular,C-JEP-oral,128087,125.1 KB,2026-04-14T18:46:16,22481f993f276dd5f4cc2f94daee7cc7adf2e7d6822ff04c95ad2c46ad18a352,False
cfh_bert_v2_resultados.txt,cfh_bert_v2_resultados.txt,.txt,texto,sin_clasificar,208,208 B,2026-04-06T12:43:18,06a122dc912c08d11140881e58a4f2213ed98ae9472918e287b6348b3e7aabcb,False
cfh_inventario.py,cfh_inventario.py,.py,codigo,sin_clasificar,15409,15.0 KB,2026-05-08T16:18:52,045e87927801f1063867ac175f5e373b7921fdc911307842fd5fd9b514652afa,False
check_json.py,check_json.py,.py,codigo,sin_clasificar,773,773 B,2026-04-03T22:31:11,66b76e9b6348a9b383963b9892ebe62f0caf87b05bd8e6fb11671d1f057b0300,False
check_json2.py,check_json2.py,.py,codigo,sin_clasificar,1001,1001 B,2026-04-03T22:32:41,0f54aed144a788e8a03dc02e8a90c5b507e3277013e51201c5c3bb4b4e8ecf4c,False
check_json3.py,check_json3.py,.py,codigo,sin_clasificar,1172,1.1 KB,2026-04-03T22:33:56,60712fa655b28288fc3bbc7fe3b0d9c7d82c191217a655b5f9faac0b0e7ec880,False
